complaint_text,domain,officer_id,priority,eta_days
Water coming from taps in Salt Lake is brownish and smells bad. Definitely contaminated. We have been suffering for a long time.,water_supply,OFF004,Low,9
Flyover construction debris has not been cleared from Lal Bagh Road for 10 days causing major traffic issues. We have been suffering for a long time.,infrastructure,OFF001,Low,40
The sanitation workers in Powai have not come for 6 days after the festival. Garbage piling up. This is not the first time this has happened.,sanitation,OFF003,High,3
Unhygienic food being sold near Central Park hospital. Multiple food poisoning cases reported. Kindly resolve at the earliest.,healthcare,OFF006,High,3
Tax deducted twice for Salt Lake property this quarter. Requesting refund of excess amount. This is not the first time this has happened.,taxation,OFF009,Medium,20
A large pothole on Nehru Street near Post Office caused my vehicle to break down. This has been reported 17 times before. This is not the first time this has happened.,infrastructure,OFF001,Low,25
Promised amenities in housing scheme at Main Market were not delivered even after 15 days of possession. We have been suffering for a long time.,housing,OFF010,Medium,8
Illegal dumping of construction waste at Post Office is blocking the road and causing stench. Please take urgent action.,sanitation,OFF003,Low,2
A factory near District Court is running heavy machinery at night causing unbearable noise pollution.,noise_pollution,OFF008,Low,5
Mosquito breeding in stagnant water near Town Hall due to poor drainage in Andheri West. We have been suffering for a long time.,sanitation,OFF003,Medium,10
Dead animals on MG Road have not been removed for 18 days causing disease outbreak risk. This is not the first time this has happened.,sanitation,OFF003,Medium,3
The drainage system on Brigade Road collapsed causing road cave-in and major commute disruption.,infrastructure,OFF001,High,13
The bridge near Town Hall is showing cracks and looks structurally unsafe. Immediate inspection required. This is not the first time this has happened.,infrastructure,OFF001,Medium,23
Broken dustbins on Gandhi Nagar are causing litter to spread across the road and nearby shops.,sanitation,OFF003,Medium,6
No bus shelter on Anna Salai causing hardship for commuters in rain and extreme heat.,transport,OFF007,Medium,12
Common areas in government housing at Central Park are being illegally encroached upon. We have been suffering for a long time.,housing,OFF010,High,31
Sewage water is mixing with drinking water pipeline near Gandhi Nagar. Very serious health risk. Kindly resolve at the earliest.,water_supply,OFF004,High,1
Multiple utility poles on MG Road are leaning and may fall during the next storm. Kindly resolve at the earliest.,utilities,OFF002,High,7
My house in Ward 7 was flooded due to nearby illegal construction blocking the natural drain.,housing,OFF010,Low,82
Stray dogs are feeding on garbage dumped near Nehru Street creating health and safety risks. We have been suffering for a long time.,sanitation,OFF003,Low,8
Tax deducted twice for Salt Lake property this quarter. Requesting refund of excess amount. We have been suffering for a long time.,taxation,OFF009,High,24
Rental agreement disputes in Salt Lake — landlord has locked the property illegally during tenancy. Kindly resolve at the earliest.,housing,OFF010,Low,32
Received income tax notice with wrong PAN number. My returns are filed but notice not withdrawn. We have been suffering for a long time.,taxation,OFF009,Low,42
The water tank at City Hospital has overflowed for 26 consecutive days wasting thousands of litres. Kindly resolve at the earliest.,water_supply,OFF004,Medium,11
Garbage has not been collected from Andheri West for 28 days. The smell is unbearable and health hazard.,sanitation,OFF003,Medium,6
Underground utility cables are exposed on Sector 14 posing serious electrocution risk. We have been suffering for a long time.,utilities,OFF002,Medium,7
Internet and cable services have been disrupted in Salt Lake for 24 days affecting work from home. This is not the first time this has happened.,utilities,OFF002,Low,9
Street lights on Lal Bagh Road have not been working since 26 days causing safety issues at night. Kindly resolve at the earliest.,infrastructure,OFF001,High,13
Street vendor electricity connections on Brigade Road are illegally tapped causing overload issues.,utilities,OFF002,Low,1
Tax exemption for senior citizen in Powai was removed without notice or reason this year. Please take urgent action.,taxation,OFF009,Medium,32
URGENT: A large pothole on Gandhi Nagar near Town Hall caused my vehicle to break down. This has been reported 18 times before.,infrastructure,OFF001,High,17
The water tank at Municipal Office has overflowed for 8 consecutive days wasting thousands of litres. Kindly resolve at the earliest.,water_supply,OFF004,Medium,3
The substation on Gandhi Nagar is making loud humming noise and smells of burning for 29 days. Kindly resolve at the earliest.,electricity,OFF005,High,1
Illegal electricity connections tapped from main line on Sector 14 causing frequent outages. Kindly resolve at the earliest.,electricity,OFF005,High,1
The water pipeline on Civil Lines is leaking heavily causing waterlogging and water wastage. Kindly resolve at the earliest.,water_supply,OFF004,High,1
Multiple utility poles on Brigade Road are leaning and may fall during the next storm. We have been suffering for a long time.,utilities,OFF002,High,8
URGENT: The housing society at Government School is denying flat possession despite full payment 19 days ago.,housing,OFF010,High,30
URGENT: Flyover construction debris has not been cleared from Anna Salai for 2 days causing major traffic issues.,infrastructure,OFF001,High,16
The public park benches at District Court are broken and unsafe for children and senior citizens. This is not the first time this has happened.,infrastructure,OFF001,Medium,8
URGENT: Water coming from taps in Krishna Nagar is brownish and smells bad. Definitely contaminated.,water_supply,OFF004,High,1
URGENT: The municipal wifi hotspot at Post Office has not been working for 26 days.,utilities,OFF002,High,1
A large pothole on Brigade Road near Town Hall caused my vehicle to break down. This has been reported 14 times before. Please take urgent action.,infrastructure,OFF001,Medium,20
A temple near Andheri West uses loudspeakers at 4am daily. Residents have complained 10 times. This is not the first time this has happened.,noise_pollution,OFF008,Low,11
Illegal DJ parties in open ground near Main Market till 3am disturbing entire neighbourhood. This is not the first time this has happened.,noise_pollution,OFF008,High,4
Construction of building on Shastri Marg is illegal as it violates floor space index regulations. Kindly resolve at the earliest.,housing,OFF010,Low,23
The municipal wifi hotspot at Town Hall has not been working for 4 days.,utilities,OFF002,Medium,8
Loudspeakers at Government School play music beyond permitted decibel levels daily disturbing residents.,noise_pollution,OFF008,Medium,6
The road on Brigade Road has large potholes that have been causing accidents for 8 days. Several vehicles have been damaged. Kindly resolve at the earliest.,infrastructure,OFF001,Medium,6
Illegal electricity connections tapped from main line on Lal Bagh Road causing frequent outages. Please take urgent action.,electricity,OFF005,High,1
URGENT: Received property tax notice for Salt Lake property with incorrect assessment value. Need correction.,taxation,OFF009,High,7
New tax levied on Banjara Hills residents without proper public notification or justification. Kindly resolve at the earliest.,taxation,OFF009,Medium,44
Internet and cable services have been disrupted in Koramangala for 8 days affecting work from home.,utilities,OFF002,Medium,2
Received income tax notice with wrong PAN number. My returns are filed but notice not withdrawn. We have been suffering for a long time.,taxation,OFF009,Medium,39
Unhygienic food being sold near City Hospital hospital. Multiple food poisoning cases reported. Please take urgent action.,healthcare,OFF006,High,3
The substation on Brigade Road is making loud humming noise and smells of burning for 28 days. Kindly resolve at the earliest.,electricity,OFF005,Medium,9
The borewell at Main Market has dried up leaving the community with no water source. This is not the first time this has happened.,water_supply,OFF004,Medium,11
The sanitation workers in Whitefield have not come for 11 days after the festival. Garbage piling up. Please take urgent action.,sanitation,OFF003,Medium,6
No water supply in Salt Lake for 4 days. Residents are buying expensive tankers just to survive. This is not the first time this has happened.,water_supply,OFF004,Medium,1
Tax exemption for senior citizen in Koramangala was removed without notice or reason this year.,taxation,OFF009,High,9
Fake medical practitioners operating clinic on Anna Salai without valid license. This is not the first time this has happened.,healthcare,OFF006,High,1
Electricity bill for Koramangala is three times higher than usual without any increase in usage. This is not the first time this has happened.,electricity,OFF005,High,1
Bar and restaurant on Nehru Street plays loud music past midnight regularly violating rules. Please take urgent action.,noise_pollution,OFF008,Medium,4
Open defecation is happening near District Court due to lack of public toilets. Urgent action needed. Kindly resolve at the earliest.,sanitation,OFF003,High,4
The municipal wifi hotspot at Municipal Office has not been working for 2 days. This is not the first time this has happened.,utilities,OFF002,High,6
The electric meter box outside Post Office is open and exposed to rain. Very dangerous. Kindly resolve at the earliest.,electricity,OFF005,Low,4
The transformer on Sector 14 is producing loud sparking sounds since last night. Very dangerous.,utilities,OFF002,High,4
URGENT: The pedestrian crossing near Town Hall school has no zebra markings. Children in danger.,transport,OFF007,High,12
The drainage system on MG Road collapsed causing road cave-in and major commute disruption. This is not the first time this has happened.,infrastructure,OFF001,High,13
A factory near District Court is running heavy machinery at night causing unbearable noise pollution. We have been suffering for a long time.,noise_pollution,OFF008,Medium,8
Illegal parking of commercial vehicles on Sector 14 blocks traffic for hours every day.,transport,OFF007,Medium,16
Construction of building on Brigade Road is illegal as it violates floor space index regulations.,housing,OFF010,High,22
Bar and restaurant on Sector 14 plays loud music past midnight regularly violating rules. This is not the first time this has happened.,noise_pollution,OFF008,Medium,8
URGENT: Building near Government School is under construction without valid permits blocking emergency exit roads.,housing,OFF010,High,3
A temple near Ward 7 uses loudspeakers at 4am daily. Residents have complained 17 times. Kindly resolve at the earliest.,noise_pollution,OFF008,High,4
Water coming from taps in Koramangala is brownish and smells bad. Definitely contaminated. This is not the first time this has happened.,water_supply,OFF004,Medium,4
Honking near Town Hall school zone is continuous despite no-horn boards. Students cannot concentrate.,noise_pollution,OFF008,Medium,14
Internet and cable services have been disrupted in Koramangala for 22 days affecting work from home. Kindly resolve at the earliest.,utilities,OFF002,High,1
Tax deducted twice for Salt Lake property this quarter. Requesting refund of excess amount.,taxation,OFF009,Medium,32
Medical oxygen cylinders at Town Hall hospital are empty. ICU patients at risk. Please take urgent action.,healthcare,OFF006,High,4
New tax levied on Banjara Hills residents without proper public notification or justification.,taxation,OFF009,High,19
Stray dogs are feeding on garbage dumped near Nehru Street creating health and safety risks.,sanitation,OFF003,Medium,1
The public telephone booth at City Hospital is completely damaged and non-functional. We have been suffering for a long time.,utilities,OFF002,High,1
Potholes on the main highway near Town Hall causing frequent accidents and vehicle damage.,transport,OFF007,Medium,9
Street vendor electricity connections on Rajiv Chowk are illegally tapped causing overload issues. This is not the first time this has happened.,utilities,OFF002,Low,5
Dangling live electric wire on Sector 14 near Central Park is a life-threatening hazard. Kindly resolve at the earliest.,electricity,OFF005,Medium,2
A temple near Whitefield uses loudspeakers at 4am daily. Residents have complained 18 times. This is not the first time this has happened.,noise_pollution,OFF008,Medium,5
Received income tax notice with wrong PAN number. My returns are filed but notice not withdrawn.,taxation,OFF009,Medium,42
Property tax amount for Gomti Nagar is higher than neighbouring properties of same size without reason.,taxation,OFF009,Low,54
No water supply in Koramangala for 25 days. Residents are buying expensive tankers just to survive.,water_supply,OFF004,Low,4
Government housing allotted to someone else despite my name on the official list for Gomti Nagar.,housing,OFF010,High,12
The drain near Shastri Marg is completely clogged with garbage causing flooding during rains. Please take urgent action.,sanitation,OFF003,High,5
URGENT: Gas pipeline leak detected near Lal Bagh Road. Strong smell of gas in the area since 6 hours.,utilities,OFF002,High,3
"URGENT: No sanitation in government hospital at Railway Station. Toilets not cleaned, wards have foul smell.",healthcare,OFF006,High,2
The vaccination camp scheduled at Municipal Office was cancelled without notice for 4 weeks.,healthcare,OFF006,Medium,2
Broken dustbins on Gandhi Nagar are causing litter to spread across the road and nearby shops. Please take urgent action.,sanitation,OFF003,High,5
The housing society at Town Hall is denying flat possession despite full payment 13 days ago.,housing,OFF010,High,15
Open defecation is happening near Central Park due to lack of public toilets. Urgent action needed. Kindly resolve at the earliest.,sanitation,OFF003,Medium,1
The municipal wifi hotspot at Municipal Office has not been working for 23 days. We have been suffering for a long time.,utilities,OFF002,High,4
Tax deducted twice for Andheri West property this quarter. Requesting refund of excess amount.,taxation,OFF009,Medium,44
Medical oxygen cylinders at Municipal Office hospital are empty. ICU patients at risk. This is not the first time this has happened.,healthcare,OFF006,Low,5
URGENT: The vaccination camp scheduled at Town Hall was cancelled without notice for 16 weeks.,healthcare,OFF006,High,3
The water tank at Municipal Office has overflowed for 20 consecutive days wasting thousands of litres. Please take urgent action.,water_supply,OFF004,High,6
Water supply timing in Salt Lake has changed without notice causing major inconvenience. This is not the first time this has happened.,water_supply,OFF004,High,2
A temple near Sector 4 uses loudspeakers at 4am daily. Residents have complained 7 times. Kindly resolve at the earliest.,noise_pollution,OFF008,Medium,14
Construction of building on Shastri Marg is illegal as it violates floor space index regulations. Please take urgent action.,housing,OFF010,Medium,57
"No sanitation in government hospital at Railway Station. Toilets not cleaned, wards have foul smell. We have been suffering for a long time.",healthcare,OFF006,High,3
No water supply in Salt Lake for 28 days. Residents are buying expensive tankers just to survive. Please take urgent action.,water_supply,OFF004,High,5
Doctor at Main Market clinic demanding extra cash for treatments covered under government scheme. We have been suffering for a long time.,healthcare,OFF006,High,3
The railway station at City Hospital has no proper lighting in the parking area causing theft. Please take urgent action.,transport,OFF007,High,2
Repeated tripping of main supply in Krishna Nagar causing power cuts 19 times a day. Please take urgent action.,electricity,OFF005,Medium,2
"No sanitation in government hospital at Post Office. Toilets not cleaned, wards have foul smell.",healthcare,OFF006,Medium,4
Dengue outbreak in Gomti Nagar - 3 cases confirmed. No fumigation or awareness drive started. We have been suffering for a long time.,healthcare,OFF006,Medium,4
URGENT: The substation on Shastri Marg is making loud humming noise and smells of burning for 25 days.,electricity,OFF005,High,2
The transformer in Sector 4 exploded last night. No power since then. No response from electricity board.,electricity,OFF005,Medium,1
Rental agreement disputes in Andheri West — landlord has locked the property illegally during tenancy. Please take urgent action.,housing,OFF010,Low,82
Open defecation is happening near Railway Station due to lack of public toilets. Urgent action needed.,sanitation,OFF003,Low,8
Bus route 9 has been cancelled for 16 days. Thousands of commuters stranded daily. Please take urgent action.,transport,OFF007,Medium,11
The transformer on MG Road is producing loud sparking sounds since last night. Very dangerous. This is not the first time this has happened.,utilities,OFF002,Low,8
Honking near Railway Station school zone is continuous despite no-horn boards. Students cannot concentrate. We have been suffering for a long time.,noise_pollution,OFF008,Medium,9
URGENT: The borewell at Town Hall has dried up leaving the community with no water source.,water_supply,OFF004,High,4
The sanitation workers in Gomti Nagar have not come for 15 days after the festival. Garbage piling up. We have been suffering for a long time.,sanitation,OFF003,Low,2
Open defecation is happening near District Court due to lack of public toilets. Urgent action needed. Please take urgent action.,sanitation,OFF003,High,5
The housing society at Central Park is denying flat possession despite full payment 11 days ago. Kindly resolve at the earliest.,housing,OFF010,Medium,54
Open defecation is happening near Government School due to lack of public toilets. Urgent action needed. This is not the first time this has happened.,sanitation,OFF003,Medium,5
New tax levied on Koramangala residents without proper public notification or justification. Kindly resolve at the earliest.,taxation,OFF009,Low,47
Loudspeakers at Government School play music beyond permitted decibel levels daily disturbing residents. We have been suffering for a long time.,noise_pollution,OFF008,Low,9
Tax exemption for senior citizen in Banjara Hills was removed without notice or reason this year.,taxation,OFF009,Medium,22
Open defecation is happening near Town Hall due to lack of public toilets. Urgent action needed. Kindly resolve at the earliest.,sanitation,OFF003,Low,7
Dead animals on Rajiv Chowk have not been removed for 26 days causing disease outbreak risk. We have been suffering for a long time.,sanitation,OFF003,Low,12
Traffic signal at Rajiv Chowk junction has been non-functional for 8 days causing accidents. Please take urgent action.,transport,OFF007,High,9
The public park benches at Post Office are broken and unsafe for children and senior citizens.,infrastructure,OFF001,Low,16
URGENT: Construction work on Nehru Street continues all night violating noise pollution norms. No sleep for 22 days.,noise_pollution,OFF008,High,6
Potholes on the main highway near Railway Station causing frequent accidents and vehicle damage. Kindly resolve at the earliest.,transport,OFF007,High,9
The road on Sector 14 has large potholes that have been causing accidents for 10 days. Several vehicles have been damaged.,infrastructure,OFF001,Medium,26
The pedestrian crossing near Central Park school has no zebra markings. Children in danger. This is not the first time this has happened.,transport,OFF007,High,10
Bar and restaurant on Civil Lines plays loud music past midnight regularly violating rules. Please take urgent action.,noise_pollution,OFF008,High,3
The sanitation workers in Ward 7 have not come for 1 days after the festival. Garbage piling up.,sanitation,OFF003,Medium,2
URGENT: The drain near MG Road is completely clogged with garbage causing flooding during rains.,sanitation,OFF003,High,5
Street vendor electricity connections on Lal Bagh Road are illegally tapped causing overload issues. Please take urgent action.,utilities,OFF002,High,2
Electricity bill for Gomti Nagar is three times higher than usual without any increase in usage. Please take urgent action.,electricity,OFF005,Medium,4
Multiple utility poles on Civil Lines are leaning and may fall during the next storm. This is not the first time this has happened.,utilities,OFF002,High,3
Promised amenities in housing scheme at Government School were not delivered even after 9 days of possession. This is not the first time this has happened.,housing,OFF010,Medium,34
Speed breakers on Rajiv Chowk have been damaged and are not visible causing accidents at night. We have been suffering for a long time.,infrastructure,OFF001,High,6
Bus route 3 has been cancelled for 30 days. Thousands of commuters stranded daily. Please take urgent action.,transport,OFF007,Medium,10
The pedestrian crossing near City Hospital school has no zebra markings. Children in danger.,transport,OFF007,Medium,12
E-rickshaw operators in Gomti Nagar are overloading passengers dangerously beyond capacity. Kindly resolve at the earliest.,transport,OFF007,Medium,12
Underground utility cables are exposed on MG Road posing serious electrocution risk. We have been suffering for a long time.,utilities,OFF002,Low,12
My GST registration application has been pending for 24 days without any response. Please take urgent action.,taxation,OFF009,High,25
URGENT: Stray dogs are feeding on garbage dumped near Shastri Marg creating health and safety risks.,sanitation,OFF003,High,3
Received property tax notice for Banjara Hills property with incorrect assessment value. Need correction.,taxation,OFF009,Low,54
The substation on Rajiv Chowk is making loud humming noise and smells of burning for 17 days. We have been suffering for a long time.,electricity,OFF005,High,2
The railway station at Central Park has no proper lighting in the parking area causing theft. Kindly resolve at the earliest.,transport,OFF007,Low,25
Low water pressure in Ward 7 since 26 days. Water does not reach above first floor. This is not the first time this has happened.,water_supply,OFF004,High,3
Repeated tripping of main supply in Sector 4 causing power cuts 7 times a day.,electricity,OFF005,High,4
Bus driver on route 10 was drunk and driving rashly. Passengers feared for their lives. This is not the first time this has happened.,transport,OFF007,Medium,15
Fake medical practitioners operating clinic on Lal Bagh Road without valid license.,healthcare,OFF006,High,2
The bridge near Post Office is showing cracks and looks structurally unsafe. Immediate inspection required. We have been suffering for a long time.,infrastructure,OFF001,High,13
Construction work on Anna Salai continues all night violating noise pollution norms. No sleep for 17 days. This is not the first time this has happened.,noise_pollution,OFF008,Low,19
The borewell at Post Office has dried up leaving the community with no water source. This is not the first time this has happened.,water_supply,OFF004,High,3
Multiple utility poles on Nehru Street are leaning and may fall during the next storm. Kindly resolve at the earliest.,utilities,OFF002,Medium,3
The public park benches at Railway Station are broken and unsafe for children and senior citizens.,infrastructure,OFF001,Medium,12
Loudspeakers at Municipal Office play music beyond permitted decibel levels daily disturbing residents.,noise_pollution,OFF008,Medium,12
Property tax amount for Powai is higher than neighbouring properties of same size without reason.,taxation,OFF009,Medium,17
The public toilet at Government School has been locked for 4 days leaving no facility for residents.,sanitation,OFF003,Medium,8
Bus route 17 has been cancelled for 22 days. Thousands of commuters stranded daily. Kindly resolve at the earliest.,transport,OFF007,Medium,7
Illegal DJ parties in open ground near City Hospital till 3am disturbing entire neighbourhood. Please take urgent action.,noise_pollution,OFF008,Medium,5
The ambulance service in Banjara Hills took 12 hours to respond causing a patient's death.,healthcare,OFF006,High,2
Loudspeakers at Central Park play music beyond permitted decibel levels daily disturbing residents. We have been suffering for a long time.,noise_pollution,OFF008,Medium,8
Illegal DJ parties in open ground near Government School till 3am disturbing entire neighbourhood. We have been suffering for a long time.,noise_pollution,OFF008,High,3
The transformer on Lal Bagh Road is producing loud sparking sounds since last night. Very dangerous. Kindly resolve at the earliest.,utilities,OFF002,High,9
Traffic signal at Sector 14 junction has been non-functional for 17 days causing accidents. Kindly resolve at the earliest.,transport,OFF007,Medium,14
Doctor at Town Hall clinic demanding extra cash for treatments covered under government scheme. Please take urgent action.,healthcare,OFF006,High,2
Doctor at City Hospital clinic demanding extra cash for treatments covered under government scheme.,healthcare,OFF006,High,2
Slum demolition in Powai was done without proper notice or rehabilitation arrangements for 15 families.,housing,OFF010,High,10
Construction of building on MG Road is illegal as it violates floor space index regulations. Please take urgent action.,housing,OFF010,High,34
Auto rickshaw drivers in Sector 4 are refusing to go by meter and overcharging passengers. This is not the first time this has happened.,transport,OFF007,High,11
Water supply timing in Krishna Nagar has changed without notice causing major inconvenience. Kindly resolve at the earliest.,water_supply,OFF004,High,7
Illegal DJ parties in open ground near Government School till 3am disturbing entire neighbourhood.,noise_pollution,OFF008,Medium,11
Loudspeakers at Railway Station play music beyond permitted decibel levels daily disturbing residents. We have been suffering for a long time.,noise_pollution,OFF008,Low,7
Mosquito breeding in stagnant water near Railway Station due to poor drainage in Ward 7. Kindly resolve at the earliest.,sanitation,OFF003,Medium,5
"No sanitation in government hospital at Central Park. Toilets not cleaned, wards have foul smell. This is not the first time this has happened.",healthcare,OFF006,High,4
The sanitation workers in Banjara Hills have not come for 16 days after the festival. Garbage piling up. We have been suffering for a long time.,sanitation,OFF003,Medium,2
The ambulance service in Koramangala took 16 hours to respond causing a patient's death. This is not the first time this has happened.,healthcare,OFF006,Medium,1
The electric meter box outside District Court is open and exposed to rain. Very dangerous. Please take urgent action.,electricity,OFF005,Medium,7
My house in Andheri West was flooded due to nearby illegal construction blocking the natural drain. We have been suffering for a long time.,housing,OFF010,Medium,46
Tax exemption for senior citizen in Banjara Hills was removed without notice or reason this year. This is not the first time this has happened.,taxation,OFF009,Medium,32
Tax exemption for senior citizen in Andheri West was removed without notice or reason this year. Kindly resolve at the earliest.,taxation,OFF009,Low,53
Tax deducted twice for Whitefield property this quarter. Requesting refund of excess amount.,taxation,OFF009,Low,12
Mosquito breeding in stagnant water near District Court due to poor drainage in Banjara Hills. Kindly resolve at the earliest.,sanitation,OFF003,High,2
The substation on Brigade Road is making loud humming noise and smells of burning for 13 days. Kindly resolve at the earliest.,electricity,OFF005,Medium,5
No bus shelter on Rajiv Chowk causing hardship for commuters in rain and extreme heat.,transport,OFF007,Low,16
Street lights on Sector 14 have not been working since 21 days causing safety issues at night. We have been suffering for a long time.,infrastructure,OFF001,Medium,20
Internet and cable services have been disrupted in Banjara Hills for 21 days affecting work from home.,utilities,OFF002,Medium,7
Unhygienic food being sold near District Court hospital. Multiple food poisoning cases reported. This is not the first time this has happened.,healthcare,OFF006,Medium,4
Open defecation is happening near Central Park due to lack of public toilets. Urgent action needed.,sanitation,OFF003,Medium,9
The transformer on Sector 14 is producing loud sparking sounds since last night. Very dangerous. We have been suffering for a long time.,utilities,OFF002,High,4
New tax levied on Andheri West residents without proper public notification or justification. Kindly resolve at the earliest.,taxation,OFF009,Low,54
Fake medical practitioners operating clinic on Nehru Street without valid license. This is not the first time this has happened.,healthcare,OFF006,Medium,2
Property tax amount for Salt Lake is higher than neighbouring properties of same size without reason. Please take urgent action.,taxation,OFF009,Medium,38
URGENT: The water pipeline on Gandhi Nagar is leaking heavily causing waterlogging and water wastage.,water_supply,OFF004,High,3
A factory near Municipal Office is running heavy machinery at night causing unbearable noise pollution. This is not the first time this has happened.,noise_pollution,OFF008,Low,12
Electricity bill for Whitefield is three times higher than usual without any increase in usage. Kindly resolve at the earliest.,electricity,OFF005,High,1
Rental agreement disputes in Salt Lake — landlord has locked the property illegally during tenancy. Kindly resolve at the earliest.,housing,OFF010,Medium,9
Bar and restaurant on Anna Salai plays loud music past midnight regularly violating rules. Please take urgent action.,noise_pollution,OFF008,Low,15
Garbage has not been collected from Whitefield for 21 days. The smell is unbearable and health hazard. Kindly resolve at the earliest.,sanitation,OFF003,High,2
Low water pressure in Salt Lake since 29 days. Water does not reach above first floor. This is not the first time this has happened.,water_supply,OFF004,High,1
The road on Civil Lines has large potholes that have been causing accidents for 25 days. Several vehicles have been damaged. Please take urgent action.,infrastructure,OFF001,Medium,10
Bar and restaurant on Civil Lines plays loud music past midnight regularly violating rules. Please take urgent action.,noise_pollution,OFF008,Low,9
Street vendor electricity connections on Civil Lines are illegally tapped causing overload issues. We have been suffering for a long time.,utilities,OFF002,High,2
The substation on MG Road is making loud humming noise and smells of burning for 21 days. This is not the first time this has happened.,electricity,OFF005,High,1
The vaccination camp scheduled at Old Bus Stand was cancelled without notice for 9 weeks. Please take urgent action.,healthcare,OFF006,High,1
Firecrackers being burst in Salt Lake every night for 10 days causing distress to elderly and children.,noise_pollution,OFF008,Low,16
Flyover construction debris has not been cleared from Rajiv Chowk for 15 days causing major traffic issues.,infrastructure,OFF001,Medium,30
Internet and cable services have been disrupted in Krishna Nagar for 13 days affecting work from home. Kindly resolve at the earliest.,utilities,OFF002,High,7
Unhygienic food being sold near Municipal Office hospital. Multiple food poisoning cases reported. This is not the first time this has happened.,healthcare,OFF006,High,4
