complaint_id,complaint_text,domain,officer_id,priority,eta_days,status
HIST0040,Power outage in Krishna Nagar for 9 days. Medicines in refrigerators are spoiling. Elderly patients suffering.,electricity,OFF005,Medium,4,Resolved
HIST0041,Tax deducted twice for Whitefield property this quarter. Requesting refund of excess amount.,taxation,OFF009,High,25,Resolved
HIST0042,The drain near Anna Salai is completely clogged with garbage causing flooding during rains.,sanitation,OFF003,Low,5,Closed
HIST0043,Electricity bill for Powai is three times higher than usual without any increase in usage.,electricity,OFF005,High,4,Closed
HIST0044,The substation on Brigade Road is making loud humming noise and smells of burning for 8 days.,electricity,OFF005,High,6,Closed
HIST0045,The railway station at Railway Station has no proper lighting in the parking area causing theft.,transport,OFF007,Low,5,Resolved
HIST0046,Mosquito breeding in stagnant water near Old Bus Stand due to poor drainage in Gomti Nagar.,sanitation,OFF003,Low,4,Closed
HIST0047,Power outage in Krishna Nagar for 27 days. Medicines in refrigerators are spoiling. Elderly patients suffering.,electricity,OFF005,Medium,4,Resolved
HIST0048,Open defecation is happening near Railway Station due to lack of public toilets. Urgent action needed.,sanitation,OFF003,High,5,Resolved
HIST0049,The drainage system on Gandhi Nagar collapsed causing road cave-in and major commute disruption.,infrastructure,OFF001,Low,37,Closed
HIST0050,Street lights on Rajiv Chowk have not been working since 5 days causing safety issues at night.,infrastructure,OFF001,Medium,3,Resolved
HIST0051,Road tax was paid 16 days ago but vehicle registration portal shows as pending.,taxation,OFF009,Low,23,Resolved
HIST0052,The vaccination camp scheduled at Railway Station was cancelled without notice for 10 weeks.,healthcare,OFF006,Medium,1,Resolved
HIST0053,The bridge near Town Hall is showing cracks and looks structurally unsafe. Immediate inspection required.,infrastructure,OFF001,High,6,Resolved
HIST0054,Water supply timing in Koramangala has changed without notice causing major inconvenience.,water_supply,OFF004,High,6,Resolved
HIST0055,Street vendor electricity connections on Nehru Street are illegally tapped causing overload issues.,utilities,OFF002,High,6,Resolved
HIST0056,Multiple utility poles on Gandhi Nagar are leaning and may fall during the next storm.,utilities,OFF002,High,3,Closed
HIST0057,The drain near Nehru Street is completely clogged with garbage causing flooding during rains.,sanitation,OFF003,High,1,Resolved
HIST0058,A temple near Sector 4 uses loudspeakers at 4am daily. Residents have complained 6 times.,noise_pollution,OFF008,Low,5,Resolved
HIST0059,The drain near Lal Bagh Road is completely clogged with garbage causing flooding during rains.,sanitation,OFF003,Medium,5,Resolved
HIST0060,Multiple utility poles on Nehru Street are leaning and may fall during the next storm.,utilities,OFF002,High,4,Closed
HIST0061,E-rickshaw operators in Gomti Nagar are overloading passengers dangerously beyond capacity.,transport,OFF007,Medium,19,Closed
HIST0062,Firecrackers being burst in Whitefield every night for 23 days causing distress to elderly and children.,noise_pollution,OFF008,Medium,14,Closed
HIST0063,Water coming from taps in Sector 4 is brownish and smells bad. Definitely contaminated.,water_supply,OFF004,High,4,Resolved
HIST0064,Gas pipeline leak detected near Civil Lines. Strong smell of gas in the area since 10 hours.,utilities,OFF002,High,8,Closed
HIST0065,Bus driver on route 6 was drunk and driving rashly. Passengers feared for their lives.,transport,OFF007,High,3,Resolved
HIST0066,Flyover construction debris has not been cleared from Civil Lines for 22 days causing major traffic issues.,infrastructure,OFF001,High,17,Closed
HIST0067,Garbage has not been collected from Krishna Nagar for 3 days. The smell is unbearable and health hazard.,sanitation,OFF003,High,6,Resolved
HIST0068,The public toilet at Old Bus Stand has been locked for 23 days leaving no facility for residents.,sanitation,OFF003,Medium,6,Resolved
HIST0069,A large pothole on Gandhi Nagar near Old Bus Stand caused my vehicle to break down. This has been reported 3 times before.,infrastructure,OFF001,Medium,8,Closed
HIST0070,Garbage has not been collected from Andheri West for 18 days. The smell is unbearable and health hazard.,sanitation,OFF003,Low,12,Resolved
HIST0071,Water supply timing in Ward 7 has changed without notice causing major inconvenience.,water_supply,OFF004,Low,4,Closed
HIST0072,Water supply timing in Gomti Nagar has changed without notice causing major inconvenience.,water_supply,OFF004,Medium,9,Closed
HIST0073,Street vendor electricity connections on Lal Bagh Road are illegally tapped causing overload issues.,utilities,OFF002,High,7,Resolved
HIST0074,Bus driver on route 13 was drunk and driving rashly. Passengers feared for their lives.,transport,OFF007,Medium,12,Resolved
HIST0075,The water tank at Government School has overflowed for 3 consecutive days wasting thousands of litres.,water_supply,OFF004,Medium,13,Resolved
HIST0076,The borewell at City Hospital has dried up leaving the community with no water source.,water_supply,OFF004,Low,14,Resolved
HIST0077,Rental agreement disputes in Koramangala — landlord has locked the property illegally during tenancy.,housing,OFF010,High,16,Resolved
HIST0078,Potholes on the main highway near District Court causing frequent accidents and vehicle damage.,transport,OFF007,Low,7,Resolved
HIST0079,Potholes on the main highway near Government School causing frequent accidents and vehicle damage.,transport,OFF007,Medium,17,Closed
HIST0080,A large pothole on Nehru Street near Old Bus Stand caused my vehicle to break down. This has been reported 4 times before.,infrastructure,OFF001,Low,14,Resolved
HIST0081,The public toilet at Government School has been locked for 21 days leaving no facility for residents.,sanitation,OFF003,Low,8,Resolved
HIST0082,Stray dogs are feeding on garbage dumped near Shastri Marg creating health and safety risks.,sanitation,OFF003,High,4,Resolved
HIST0083,Water meter readings in Krishna Nagar are incorrect. Getting bills for double the actual usage.,water_supply,OFF004,High,1,Resolved
HIST0084,Repeated tripping of main supply in Ward 7 causing power cuts 12 times a day.,electricity,OFF005,High,3,Resolved
HIST0085,The transformer on Anna Salai is producing loud sparking sounds since last night. Very dangerous.,utilities,OFF002,High,7,Resolved
HIST0086,Streetlights in Krishna Nagar are on during daytime wasting electricity for 4 days.,electricity,OFF005,High,3,Resolved
HIST0087,Illegal parking of commercial vehicles on Anna Salai blocks traffic for hours every day.,transport,OFF007,Low,16,Resolved
HIST0088,The municipal wifi hotspot at Municipal Office has not been working for 29 days.,utilities,OFF002,Medium,11,Resolved
HIST0089,The borewell at Old Bus Stand has dried up leaving the community with no water source.,water_supply,OFF004,High,4,Resolved
HIST0090,Water supply timing in Koramangala has changed without notice causing major inconvenience.,water_supply,OFF004,Medium,14,Resolved
HIST0091,Internet and cable services have been disrupted in Salt Lake for 25 days affecting work from home.,utilities,OFF002,High,3,Resolved
HIST0092,Medical oxygen cylinders at Municipal Office hospital are empty. ICU patients at risk.,healthcare,OFF006,High,2,Resolved
HIST0093,My GST registration application has been pending for 11 days without any response.,taxation,OFF009,High,27,Resolved
HIST0094,The road divider on Sector 14 was damaged in an accident last week and has not been repaired creating traffic hazards.,infrastructure,OFF001,Low,37,Closed
HIST0095,No bus shelter on Shastri Marg causing hardship for commuters in rain and extreme heat.,transport,OFF007,High,2,Resolved
HIST0096,Illegal DJ parties in open ground near Railway Station till 3am disturbing entire neighbourhood.,noise_pollution,OFF008,High,4,Resolved
HIST0097,Electricity bill for Salt Lake is three times higher than usual without any increase in usage.,electricity,OFF005,Medium,3,Closed
HIST0098,Traffic signal at Anna Salai junction has been non-functional for 18 days causing accidents.,transport,OFF007,High,12,Closed
HIST0099,Stray dogs are feeding on garbage dumped near Civil Lines creating health and safety risks.,sanitation,OFF003,Low,11,Resolved
HIST0100,The municipal wifi hotspot at Government School has not been working for 15 days.,utilities,OFF002,Medium,11,Closed
HIST0101,Gas pipeline leak detected near Rajiv Chowk. Strong smell of gas in the area since 23 hours.,utilities,OFF002,Medium,10,Resolved
HIST0102,Sewage water is mixing with drinking water pipeline near Rajiv Chowk. Very serious health risk.,water_supply,OFF004,Medium,1,Resolved
HIST0103,Repeated tripping of main supply in Andheri West causing power cuts 15 times a day.,electricity,OFF005,High,5,Resolved
HIST0104,Road tax was paid 14 days ago but vehicle registration portal shows as pending.,taxation,OFF009,High,27,Resolved
HIST0105,Tax exemption for senior citizen in Salt Lake was removed without notice or reason this year.,taxation,OFF009,Low,18,Resolved
HIST0106,Internet and cable services have been disrupted in Salt Lake for 4 days affecting work from home.,utilities,OFF002,Medium,10,Closed
HIST0107,Street vendor electricity connections on Brigade Road are illegally tapped causing overload issues.,utilities,OFF002,Low,5,Resolved
HIST0108,Illegal DJ parties in open ground near Railway Station till 3am disturbing entire neighbourhood.,noise_pollution,OFF008,Low,12,Resolved
HIST0109,Bus route 10 has been cancelled for 10 days. Thousands of commuters stranded daily.,transport,OFF007,Low,14,Resolved
HIST0110,Bus driver on route 2 was drunk and driving rashly. Passengers feared for their lives.,transport,OFF007,High,7,Closed
HIST0111,Building near Old Bus Stand is under construction without valid permits blocking emergency exit roads.,housing,OFF010,Medium,30,Resolved
HIST0112,Common areas in government housing at Post Office are being illegally encroached upon.,housing,OFF010,Low,22,Resolved
HIST0113,Unhygienic food being sold near Main Market hospital. Multiple food poisoning cases reported.,healthcare,OFF006,High,3,Closed
HIST0114,No bus shelter on Brigade Road causing hardship for commuters in rain and extreme heat.,transport,OFF007,High,9,Resolved
HIST0115,The housing society at Post Office is denying flat possession despite full payment 30 days ago.,housing,OFF010,Medium,6,Closed
HIST0116,Mosquito breeding in stagnant water near Old Bus Stand due to poor drainage in Gomti Nagar.,sanitation,OFF003,High,5,Resolved
HIST0117,No bus shelter on MG Road causing hardship for commuters in rain and extreme heat.,transport,OFF007,Medium,20,Resolved
HIST0118,Street vendor electricity connections on Anna Salai are illegally tapped causing overload issues.,utilities,OFF002,High,1,Resolved
HIST0119,Street vendor electricity connections on Civil Lines are illegally tapped causing overload issues.,utilities,OFF002,Medium,7,Resolved
HIST0120,A factory near Main Market is running heavy machinery at night causing unbearable noise pollution.,noise_pollution,OFF008,Medium,9,Resolved
HIST0121,Illegal dumping of construction waste at Old Bus Stand is blocking the road and causing stench.,sanitation,OFF003,High,3,Resolved
HIST0122,Construction work on Nehru Street continues all night violating noise pollution norms. No sleep for 30 days.,noise_pollution,OFF008,High,1,Closed
HIST0123,Speed breakers on Brigade Road have been damaged and are not visible causing accidents at night.,infrastructure,OFF001,High,5,Resolved
HIST0124,Dengue outbreak in Krishna Nagar - 10 cases confirmed. No fumigation or awareness drive started.,healthcare,OFF006,High,1,Resolved
HIST0125,Property tax amount for Salt Lake is higher than neighbouring properties of same size without reason.,taxation,OFF009,Low,32,Resolved
HIST0126,The water tank at Central Park has overflowed for 26 consecutive days wasting thousands of litres.,water_supply,OFF004,High,7,Resolved
HIST0127,Illegal DJ parties in open ground near Main Market till 3am disturbing entire neighbourhood.,noise_pollution,OFF008,Low,15,Resolved
HIST0128,Common areas in government housing at Railway Station are being illegally encroached upon.,housing,OFF010,Low,79,Resolved
HIST0129,Loudspeakers at Government School play music beyond permitted decibel levels daily disturbing residents.,noise_pollution,OFF008,Medium,12,Closed
HIST0130,Fake medical practitioners operating clinic on MG Road without valid license.,healthcare,OFF006,High,1,Resolved
HIST0131,Water coming from taps in Koramangala is brownish and smells bad. Definitely contaminated.,water_supply,OFF004,High,3,Closed
HIST0132,The road divider on Rajiv Chowk was damaged in an accident last week and has not been repaired creating traffic hazards.,infrastructure,OFF001,Low,28,Resolved
HIST0133,No bus shelter on Anna Salai causing hardship for commuters in rain and extreme heat.,transport,OFF007,Medium,21,Closed
HIST0134,The municipal wifi hotspot at District Court has not been working for 7 days.,utilities,OFF002,High,4,Resolved
HIST0135,A large pothole on Sector 14 near Central Park caused my vehicle to break down. This has been reported 7 times before.,infrastructure,OFF001,Medium,21,Resolved
HIST0136,Water meter readings in Sector 4 are incorrect. Getting bills for double the actual usage.,water_supply,OFF004,Low,11,Resolved
HIST0137,The drain near MG Road is completely clogged with garbage causing flooding during rains.,sanitation,OFF003,Medium,2,Resolved
HIST0138,The municipal wifi hotspot at Town Hall has not been working for 25 days.,utilities,OFF002,High,5,Resolved
HIST0139,Construction work on Sector 14 continues all night violating noise pollution norms. No sleep for 16 days.,noise_pollution,OFF008,Low,15,Resolved
HIST0140,The footpath on MG Road is completely broken and dangerous for pedestrians especially elderly people.,infrastructure,OFF001,Low,36,Resolved
HIST0141,The water pipeline on Gandhi Nagar is leaking heavily causing waterlogging and water wastage.,water_supply,OFF004,Low,16,Resolved
HIST0142,Power outage in Banjara Hills for 3 days. Medicines in refrigerators are spoiling. Elderly patients suffering.,electricity,OFF005,High,6,Resolved
HIST0143,Electricity bill for Andheri West is three times higher than usual without any increase in usage.,electricity,OFF005,High,1,Closed
HIST0144,The pedestrian crossing near Government School school has no zebra markings. Children in danger.,transport,OFF007,Medium,17,Resolved
HIST0145,The vaccination camp scheduled at Central Park was cancelled without notice for 11 weeks.,healthcare,OFF006,Medium,3,Closed
HIST0146,Low water pressure in Andheri West since 2 days. Water does not reach above first floor.,water_supply,OFF004,High,2,Resolved
HIST0147,Bus driver on route 20 was drunk and driving rashly. Passengers feared for their lives.,transport,OFF007,Medium,18,Resolved
HIST0148,Streetlights in Ward 7 are on during daytime wasting electricity for 30 days.,electricity,OFF005,High,3,Resolved
HIST0149,Firecrackers being burst in Ward 7 every night for 9 days causing distress to elderly and children.,noise_pollution,OFF008,High,3,Closed
HIST0150,The public telephone booth at Central Park is completely damaged and non-functional.,utilities,OFF002,Low,4,Resolved
HIST0151,The public park benches at Municipal Office are broken and unsafe for children and senior citizens.,infrastructure,OFF001,Low,7,Resolved
HIST0152,Bus driver on route 18 was drunk and driving rashly. Passengers feared for their lives.,transport,OFF007,High,9,Resolved
HIST0153,Expired medicines are being distributed at the health centre near Salt Lake. Serious negligence.,healthcare,OFF006,High,1,Closed
HIST0154,Repeated tripping of main supply in Powai causing power cuts 5 times a day.,electricity,OFF005,Medium,4,Resolved
HIST0155,Water coming from taps in Whitefield is brownish and smells bad. Definitely contaminated.,water_supply,OFF004,High,1,Resolved
HIST0156,Water meter readings in Salt Lake are incorrect. Getting bills for double the actual usage.,water_supply,OFF004,Medium,12,Resolved
HIST0157,Firecrackers being burst in Koramangala every night for 21 days causing distress to elderly and children.,noise_pollution,OFF008,Low,8,Closed
HIST0158,The bridge near Government School is showing cracks and looks structurally unsafe. Immediate inspection required.,infrastructure,OFF001,Low,35,Resolved
HIST0159,Stray dogs are feeding on garbage dumped near Gandhi Nagar creating health and safety risks.,sanitation,OFF003,High,1,Closed
HIST0160,Illegal DJ parties in open ground near City Hospital till 3am disturbing entire neighbourhood.,noise_pollution,OFF008,High,8,Resolved
HIST0161,Building near Post Office is under construction without valid permits blocking emergency exit roads.,housing,OFF010,Medium,7,Resolved
HIST0162,My house in Powai was flooded due to nearby illegal construction blocking the natural drain.,housing,OFF010,Low,15,Resolved
HIST0163,The vaccination camp scheduled at District Court was cancelled without notice for 17 weeks.,healthcare,OFF006,High,2,Resolved
HIST0164,"No sanitation in government hospital at Government School. Toilets not cleaned, wards have foul smell.",healthcare,OFF006,High,3,Closed
HIST0165,Street lights on Sector 14 have not been working since 12 days causing safety issues at night.,infrastructure,OFF001,High,12,Closed
HIST0166,Traffic signal at Rajiv Chowk junction has been non-functional for 30 days causing accidents.,transport,OFF007,Medium,10,Closed
HIST0167,New tax levied on Banjara Hills residents without proper public notification or justification.,taxation,OFF009,Low,44,Closed
HIST0168,No bus shelter on Shastri Marg causing hardship for commuters in rain and extreme heat.,transport,OFF007,Medium,21,Resolved
HIST0169,The pedestrian crossing near District Court school has no zebra markings. Children in danger.,transport,OFF007,Medium,6,Resolved
HIST0170,The sanitation workers in Powai have not come for 22 days after the festival. Garbage piling up.,sanitation,OFF003,High,3,Resolved
HIST0171,Power outage in Gomti Nagar for 10 days. Medicines in refrigerators are spoiling. Elderly patients suffering.,electricity,OFF005,High,4,Resolved
HIST0172,Flyover construction debris has not been cleared from Civil Lines for 9 days causing major traffic issues.,infrastructure,OFF001,High,7,Closed
HIST0173,My GST registration application has been pending for 24 days without any response.,taxation,OFF009,Medium,12,Resolved
HIST0174,No water supply in Gomti Nagar for 26 days. Residents are buying expensive tankers just to survive.,water_supply,OFF004,High,1,Resolved
HIST0175,The substation on Shastri Marg is making loud humming noise and smells of burning for 14 days.,electricity,OFF005,Low,4,Closed
HIST0176,The water tank at Main Market has overflowed for 7 consecutive days wasting thousands of litres.,water_supply,OFF004,High,3,Closed
HIST0177,Loudspeakers at Main Market play music beyond permitted decibel levels daily disturbing residents.,noise_pollution,OFF008,Medium,7,Closed
HIST0178,The vaccination camp scheduled at Main Market was cancelled without notice for 15 weeks.,healthcare,OFF006,High,3,Resolved
HIST0179,Auto rickshaw drivers in Banjara Hills are refusing to go by meter and overcharging passengers.,transport,OFF007,Medium,13,Resolved
HIST0180,Promised amenities in housing scheme at Town Hall were not delivered even after 25 days of possession.,housing,OFF010,High,28,Resolved
HIST0181,Honking near Central Park school zone is continuous despite no-horn boards. Students cannot concentrate.,noise_pollution,OFF008,Medium,3,Resolved
HIST0182,Rental agreement disputes in Ward 7 — landlord has locked the property illegally during tenancy.,housing,OFF010,Medium,52,Closed
HIST0183,The footpath on Brigade Road is completely broken and dangerous for pedestrians especially elderly people.,infrastructure,OFF001,High,14,Closed
HIST0184,Illegal dumping of construction waste at City Hospital is blocking the road and causing stench.,sanitation,OFF003,High,1,Resolved
HIST0185,Construction of building on Brigade Road is illegal as it violates floor space index regulations.,housing,OFF010,Medium,58,Closed
HIST0186,Illegal DJ parties in open ground near Central Park till 3am disturbing entire neighbourhood.,noise_pollution,OFF008,Low,7,Closed
HIST0187,The substation on Lal Bagh Road is making loud humming noise and smells of burning for 14 days.,electricity,OFF005,Medium,3,Resolved
HIST0188,The water pipeline on Brigade Road is leaking heavily causing waterlogging and water wastage.,water_supply,OFF004,High,6,Resolved
HIST0189,Rental agreement disputes in Salt Lake — landlord has locked the property illegally during tenancy.,housing,OFF010,Medium,57,Resolved
HIST0190,Garbage has not been collected from Ward 7 for 19 days. The smell is unbearable and health hazard.,sanitation,OFF003,High,3,Resolved
HIST0191,Rental agreement disputes in Krishna Nagar — landlord has locked the property illegally during tenancy.,housing,OFF010,High,9,Resolved
HIST0192,Received income tax notice with wrong PAN number. My returns are filed but notice not withdrawn.,taxation,OFF009,High,9,Resolved
HIST0193,Building near Old Bus Stand is under construction without valid permits blocking emergency exit roads.,housing,OFF010,Low,12,Closed
HIST0194,Illegal DJ parties in open ground near Post Office till 3am disturbing entire neighbourhood.,noise_pollution,OFF008,Low,14,Resolved
HIST0195,Stray dogs are feeding on garbage dumped near Anna Salai creating health and safety risks.,sanitation,OFF003,High,1,Closed
HIST0196,Dead animals on Gandhi Nagar have not been removed for 30 days causing disease outbreak risk.,sanitation,OFF003,High,2,Closed
HIST0197,Water coming from taps in Salt Lake is brownish and smells bad. Definitely contaminated.,water_supply,OFF004,High,3,Resolved
HIST0198,The bridge near District Court is showing cracks and looks structurally unsafe. Immediate inspection required.,infrastructure,OFF001,Low,18,Resolved
HIST0199,Illegal DJ parties in open ground near Post Office till 3am disturbing entire neighbourhood.,noise_pollution,OFF008,Medium,9,Closed
HIST0200,Dangling live electric wire on Rajiv Chowk near Old Bus Stand is a life-threatening hazard.,electricity,OFF005,Low,5,Resolved
HIST0201,Government housing allotted to someone else despite my name on the official list for Sector 4.,housing,OFF010,Low,39,Resolved
HIST0202,Promised amenities in housing scheme at District Court were not delivered even after 22 days of possession.,housing,OFF010,Medium,58,Resolved
HIST0203,Rental agreement disputes in Koramangala — landlord has locked the property illegally during tenancy.,housing,OFF010,Low,78,Resolved
HIST0204,Illegal DJ parties in open ground near Central Park till 3am disturbing entire neighbourhood.,noise_pollution,OFF008,Low,8,Resolved
HIST0205,Street vendor electricity connections on Rajiv Chowk are illegally tapped causing overload issues.,utilities,OFF002,High,8,Resolved
HIST0206,The electric meter box outside Central Park is open and exposed to rain. Very dangerous.,electricity,OFF005,Medium,4,Closed
HIST0207,Promised amenities in housing scheme at Main Market were not delivered even after 2 days of possession.,housing,OFF010,Medium,12,Closed
HIST0208,Bar and restaurant on MG Road plays loud music past midnight regularly violating rules.,noise_pollution,OFF008,Medium,14,Resolved
HIST0209,Dead animals on Brigade Road have not been removed for 8 days causing disease outbreak risk.,sanitation,OFF003,High,6,Closed
HIST0210,The road divider on Gandhi Nagar was damaged in an accident last week and has not been repaired creating traffic hazards.,infrastructure,OFF001,Low,25,Resolved
HIST0211,Power outage in Andheri West for 17 days. Medicines in refrigerators are spoiling. Elderly patients suffering.,electricity,OFF005,Medium,7,Resolved
HIST0212,Dangling live electric wire on MG Road near City Hospital is a life-threatening hazard.,electricity,OFF005,Medium,7,Closed
HIST0213,Speed breakers on Lal Bagh Road have been damaged and are not visible causing accidents at night.,infrastructure,OFF001,Medium,16,Closed
HIST0214,Potholes on the main highway near Central Park causing frequent accidents and vehicle damage.,transport,OFF007,Medium,12,Resolved
HIST0215,The footpath on Rajiv Chowk is completely broken and dangerous for pedestrians especially elderly people.,infrastructure,OFF001,Medium,27,Closed
HIST0216,Government housing allotted to someone else despite my name on the official list for Sector 4.,housing,OFF010,High,9,Resolved
HIST0217,The road divider on Civil Lines was damaged in an accident last week and has not been repaired creating traffic hazards.,infrastructure,OFF001,Medium,18,Closed
HIST0218,Internet and cable services have been disrupted in Powai for 7 days affecting work from home.,utilities,OFF002,Medium,14,Resolved
HIST0219,A burst pipe on Shastri Marg has been flooding the road for 10 days. No repair work started.,water_supply,OFF004,Medium,5,Resolved
HIST0220,Tax deducted twice for Salt Lake property this quarter. Requesting refund of excess amount.,taxation,OFF009,Medium,20,Resolved
HIST0221,Received income tax notice with wrong PAN number. My returns are filed but notice not withdrawn.,taxation,OFF009,Low,22,Resolved
HIST0222,A burst pipe on Lal Bagh Road has been flooding the road for 16 days. No repair work started.,water_supply,OFF004,High,6,Resolved
HIST0223,High voltage fluctuation on MG Road damaged our appliances. Need compensation and immediate fix.,electricity,OFF005,High,4,Resolved
HIST0224,Construction work on Rajiv Chowk continues all night violating noise pollution norms. No sleep for 6 days.,noise_pollution,OFF008,Medium,12,Resolved
HIST0225,Speed breakers on Civil Lines have been damaged and are not visible causing accidents at night.,infrastructure,OFF001,Low,15,Closed
HIST0226,No water supply in Salt Lake for 28 days. Residents are buying expensive tankers just to survive.,water_supply,OFF004,Medium,12,Resolved
HIST0227,The municipal wifi hotspot at Government School has not been working for 14 days.,utilities,OFF002,Medium,13,Closed
HIST0228,Electricity bill for Gomti Nagar is three times higher than usual without any increase in usage.,electricity,OFF005,High,3,Resolved
HIST0229,The borewell at District Court has dried up leaving the community with no water source.,water_supply,OFF004,Medium,6,Resolved
HIST0230,The substation on MG Road is making loud humming noise and smells of burning for 19 days.,electricity,OFF005,Low,4,Resolved
HIST0231,Construction work on Lal Bagh Road continues all night violating noise pollution norms. No sleep for 2 days.,noise_pollution,OFF008,Medium,10,Resolved
HIST0232,Bus route 19 has been cancelled for 29 days. Thousands of commuters stranded daily.,transport,OFF007,High,2,Resolved
HIST0233,Illegal dumping of construction waste at Town Hall is blocking the road and causing stench.,sanitation,OFF003,Medium,3,Closed
HIST0234,The footpath on Gandhi Nagar is completely broken and dangerous for pedestrians especially elderly people.,infrastructure,OFF001,Low,29,Resolved
HIST0235,Speed breakers on Rajiv Chowk have been damaged and are not visible causing accidents at night.,infrastructure,OFF001,Medium,30,Resolved
HIST0236,Received property tax notice for Koramangala property with incorrect assessment value. Need correction.,taxation,OFF009,Medium,14,Closed
HIST0237,Underground utility cables are exposed on Rajiv Chowk posing serious electrocution risk.,utilities,OFF002,High,4,Resolved
